

name,technology,composition,price,manufacturer,website,color,opacity,tags,diameter,filament_extrusion_to_flow_multiplier,temp_extrude_default,temp_extrude_min,temp_extrude_max,bed_temp,min_nozzle_diameter,extruder_fan_speed,bed_material,buy_now
"3DFM PLA Filament- Fluorescent Yellow","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/54-3dfm-pla-filament-flouroscent-yellow.html",
"3DFM PLA Filament-Yellow","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/55-3dfm-pla-filament-yellow.html",
"3DFM PLA Filament-Orange","FDM","null","
						$21.00						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/56-3dfm-pla-filament-orange.html",
"3DFM PLA Filament-Red","FDM","null","
						$21.00						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/57-3dfm-pla-filament-red.html",
"3DFM PLA Filament-Blue","FDM","null","
						$21.00						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/58-3dfm-pla-filament-blue.html",
"3DFM PLA Filament-Black","FDM","null","
						$21.00						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/59-3dfm-pla-filament-black.html",
"3DFM PLA Filament-White","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/60-3dfm-pla-filament-white.html",
"3DFM PLA Filament-Natural","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/61-3dfm-pla-filament-natural.html",
"3DFM PLA Filament-Green","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/62-3dfm-pla-filament-green.html",
"3DFM PLA Filament-Pink","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/63-3dfm-pla-filament-pink.html",
"3DFM PLA Filament-Purple","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/64-3dfm-pla-filament-purple.html",
"3DFM PLA Filament-Silver","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/65-3dfm-pla-filament-silver.html",
"3DFM PLA Filament-Golden","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/66-3dfm-pla-filament-golden.html",
"3DFM NYLON Filament ","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/nylon-filament/67-3dfm-nylon-filament.html",
"3DFM PVA Filament ","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/68-3dfm-pva-filament.html",
"3DFM POM Filament ","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/69-3dfm-pom-filament.html",
"3DFM PC Filament ","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/70-3dfm-pc-filament.html",
"3DFM HIPS Filament ","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/71-3dfm-hips-filament.html",
"3DFM PETG Filament ","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/72-3dfm-petg-filament.html",
"3DFM Rubber Flex Filament ","FDM","null","
						$23.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/73-3dfm-rubber-flex-filament.html",
"3DFM Woodfill Filament ","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/74-3dfm-woodfill-filament.html",
"3DFM PP Filament ","FDM","null","
						$19.90						","3DFilamenta","http://3dfilamenta.com/","null","1","null","1.75","1","200","190","210","60","","255","blue tape, glass, glue stick","http://3dfilamenta.com/3dfmstore/3d-printer-consumables/75-3dfm-pp-filament.html",
