

name,technology,composition,price,manufacturer,website,color,opacity,tags,diameter,filament_extrusion_to_flow_multiplier,temp_extrude_default,temp_extrude_min,temp_extrude_max,bed_temp,min_nozzle_diameter,extruder_fan_speed,weight,bed_material,buy_now
"PVA 1.75mm soluble filament","FDM","PVA","45,00 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","null","null","null","null","null","null","null","500g Rolls of soluble PVA filament 1.75mm","null","http://www.reprap-3d-printer.com/product/402-pva-1-75mm-soluble-filament",
"HIPS 1.75mm White","FDM","HIPS","24,90 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","null","null","null","null","null","null","null","1kg 1.75mm filament White HIPS","null","http://www.reprap-3d-printer.com/product/1234568382-hips-1-75mm-white",
"notranslation","FDM","notranslation","26,40 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","null","null","null","null","null","null","null","notranslation","null","http://www.reprap-3d-printer.com/product/1234568386-notranslation",
"PVA 1.75mm soluble filament","FDM","PVA","45,00 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","null","null","null","null","null","null","null","500g Rolls of soluble PVA filament 1.75mm","null","http://www.reprap-3d-printer.com/product/1234568356-pva-1-75mm-soluble-filament",
"HIPS 3mm Black","FDM","HIPS","24,90 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","null","null","null","null","null","null","null","1kg 3mm filament Black HIPS","null","http://www.reprap-3d-printer.com/product/1234568381-hips-3mm-black",
"ABS Premium 1.75mm Silver","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Silver","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568216-abs-premium-1-75mm-silver",
"ABS Premium 1.75mm Gold","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Gold","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568217-abs-premium-1-75mm-gold",
"ABS Premium 1.75mm Natural","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Natural","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568218-abs-premium-1-75mm-natural",
"ABS Premium 1.75mm Purple","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Purple","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568219-abs-premium-1-75mm-purple",
"ABS Premium 1.75mm Black","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Black","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568220-abs-premium-1-75mm-black",
"ABS Premium 1.75mm White","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm White","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568221-abs-premium-1-75mm-white",
"ABS Premium 1.75mm Red","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Red","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568222-abs-premium-1-75mm-red",
"ABS Premium 1.75mm Sky blue","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Sky blue","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568379-abs-premium-1-75mm-sky-blue",
"ABS Premium 1.75mm Grey","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Grey","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568380-abs-premium-1-75mm-grey",
"ABS Premium 1.75mm Orange","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Orange","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568388-abs-premium-1-75mm-orange",
"ABS Premium 1.75mm Dark Blue","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Dark blue","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568389-abs-premium-1-75mm-dark-blue",
"ABS Premium 1.75mm Pink","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Pink","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568390-abs-premium-1-75mm-pink",
"ABS Premium 1.75mm Yellow","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Yellow","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568391-abs-premium-1-75mm-yellow",
"ABS Premium 1.75mm Green Apple","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","1.75","1","230","200","250","110","","0","1Kg of ABS Premium 1.75mm Green Apple","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568408-abs-premium-1-75mm-green-apple",
"ABS Premium 3mm Red","FDM","ABS","20,99 € VAT inc.","E Motion Tech","http://www.reprap-3d-printer.com/","null","1","null","2.85","1","230","200","250","110","","0","1Kg of ABS Premium 3mm Red","kapton, abs slurry, acrylic, blue tape","http://www.reprap-3d-printer.com/product/1234568223-abs-premium-3mm-red",
